absolutnie,绝对,"jué duì"
absolwent,毕业生,"bì yè shēng"
absurd,荒谬的,huāngmiùde
absurd,可笑的,kěxiàode
Ada,阿妲,ādá
Adam,亚当,yàdāng
administracja,管理,guǎnlǐ
administracja,经营,jīngyíng
administracja,行政,xíngzhèng
admirał,舰队司令,"jiàn duì sī lìng"
adoptować,收养,shōuyǎng
adres,地址,dìzhǐ
Adrian,阿德里安,ādélǐān
adwokat,律师,lǜshī
afera,事件,shìjiàn
Afganistan,阿富汗,āfùhàn
afisz,海报,hǎibào
aforyzm,格言,"gé yán"
Afryka,非洲,Fēizhōu
Afryka,阿非利加洲,āfēilìjiāzhōu
Agata,阿佳塔,ājiātǎ
agencja,机构,jīgòu
Agnieszka,阿格尼丝,āgénísī
aikido,合气道,"hé qì dào"
akademia,学院,"xué yuàn"
akcent,音调,"yīn diào"
akcent,口音,"kǒu yīn"
akceptować,接受,jiēshòu
akcja,股票,"gǔ piào"
akordeon,手风琴,"shǒu fēng qín"
akordeon,手风琴,"shǒu fēng qín"
akrobata,杂技演员,"zá jì yǎn yuán"
akrobatyka,杂技,"zá jì"
aksamit,丝绒,sīróng
aktor,男演员,"nán yǎnyuán"
aktorka,女演员,"nǚ yǎnyuán"
akupunktura,针灸,"zhēn jiǔ"
akwarium,鱼缸,yúgāng
alarm,惊惶,jīnghuāng
Alaska,阿拉斯加,ālāsījiā
Albania,阿尔巴尼亚,āěrbāníyà
albo,或者,"huò zhě"
album,相片册,xiàngpiàncè
album,集邮册,jíyóucè
ale,但,dàn
ale,但是,dànshì
ale,可是,kěshì
ale,不过,búguò
aleja,林荫道,línyīndào
alejka,小路,xiǎolù
Aleksander,亚历山大,yàlìshāndà
Aleksandra,亚历山德拉,"yà lì shān dé lā"
alergia,过敏,guòmĭn
alfabet,字母表,"zì mǔ biǎo"
Algieria,阿尔及利亚,āěrjílìyà
Alicja,艾丽夏,àilìxià
aligator,鳄鱼,"è yú"
alkohol,酒,jiǔ
Alpy,阿尔卑斯山,"ā ér bēi sī shān"
aluminium,铝,lǚ
ambasada,大使馆,"dà shǐ guǎn"
ambicja,雄心,"xióng xīn"
ambulans,救护车,"jiù hù chē"
Amelia,阿美莉亚,"ā měi lì yà"
Ameryka,美洲,"měi zhōu"
Ameryka,美国,"měi guó"
"Ameryka Północna",北美洲,"běi měi zhōu"
"Ameryka Południowa",南美洲,"nán měi zhōu"
amnestia,大赦,dàshè
amunicja,弹药,"dàn yào"
anakonda,水蟒,"shuǐ mǎng"
analfabeta,文盲,"wén máng"
ananas,菠萝,bōluó
Andrzej,安德鲁,āndélǔ
Aneta,阿娜宜塔,ānàyítǎ
Angelika,安杰莉卡,ānjiélìkǎ
angielski,英国的,"yīng guó de"
angielski,英语,"yīng yǔ"
Anglia,英国,Yīngguó
Anglik,英国人,yīngguórén
Angola,安哥拉,āngēlā
anioł,天使,"tiān shǐ"
Anna,安娜,ānnà
anonimowy,匿名的,"nì míng de"
Antarktyda,南极洲,"nán jí zhōu"
antena,天线,"tiān xiàn"
antybiotyk,抗生素,kàngshēngsù
antyczny,古代的,gǔdàide
antyk,古代,gǔdài
antyk,古玩,gǔwán
antyk,古董,gǔdǒng
antykoncepcja,避孕,"bì yùn"
aparat,装置,"zhuāng zhì"
aparat,照相机,"zhào xiàng jī"
"aparat fotograficzny",照相机,zhàoxiàngjī
apartament,套房,tàofáng
apetyt,胃口,"wèi kǒu"
apteka,药店,yàodiàn
apteka,药房,yàofáng
Arab,阿拉伯,ālābó
arbuz,西瓜,xīgua
archeolog,考古学家,"kǎo gǔ xué jiā"
architekt,建筑师,"jiàn zhù shī"
architekt,建筑师,"jiàn zhù shī"
architekt,设计师,"shè jì shī"
architekt,设计师,"shè jì shī"
arcydzieło,杰作,"jié zuò"
aresztować,拘捕,"jū bǔ"
Argentyna,阿根廷,āgēntíng
aria,咏叹调,yǒngtàndiào
Arizona,亚利桑那,yàlìsāngnà
Arkansas,阿肯色,ākěnsè
Armenia,亚美尼亚,yàwěiníyà
armia,军队,"jūn duì"
arogancja,傲慢,"ào màn"
Artur,阿尔图尔,āěrtúěr
artykuł,文章,wénzhāng
artyleria,炮兵,"pào bīng"
artysta,艺术家,"yì shù jiā"
asfalt,沥青,"lì qīng"
aspiryna,阿司匹林,āsīpǐlín
atak,攻击,"gōng jī"
atakować,攻击,"gōng jī"
atmosfera,气氛,qìfèn
atmosfera,空气,kōngqì
atom,原子,"yuán zǐ"
atrakcyjny,有吸引力的,"yǒu xīyǐnlì de"
atrakcyjny,讨人喜欢的,"tǎo rén xǐhuān de"
Audi,奥迪,"ào dí"
aukcja,拍卖,"pāi mài"
aureola,光环,"guāng huán"
Australia,澳大利亚,aòdàlìyà
Austria,奥地利,aòdìlì
autentyczny,真实的,"zhēnshí de"
autentyczny,可靠的,"kěkào de"
auto,汽车,qìchē
autobus,公共汽车,gōnggòngqìchē
autograf,亲笔签名,"qīn bǐ qiān míng"
autor,作者,"zuò zhě"
autostrada,高速公路,"gāo sù gōng lù"
azalia,杜鹃花,dùjuānhuā
Azerbejdżan,阿塞拜疆,āsàibàijiāng
Azja,亚洲,Yázhōu
baba,头脑简单的老女人,"tóunǎo jiǎndān de lǎ"
babcia,祖母,zǔmǔ
babcia,奶奶,nǎinai
babcia,外婆,wàipó
babcia,姥姥,lǎolao
badacz,研究人员,"yán jiū rén yuán"
badać,调查,diàochá
badać,检查,jiǎnchá
badać,考查,kǎochá
Bahamy,巴哈马,bāhāmǎ
Bahrajn,巴林,bālín
bajka,动画片,"dòng huà piān"
bajka,童话,"tóng huà"
bakteria,细菌,"xì jūn"
bakłażan,茄子,"qié zi"
bal,舞会,"wǔ huì"
balans,平衡,"píng héng"
balet,芭蕾,bāléi
balkon,阳台,yángtái
balkon,(剧院)楼厅,(jùyuàn)lóutīng
bambus,竹子,zhúzi
banan,香蕉,Xiāngjiāo
bank,银行,yínháng
banknot,纸币,"zhǐ bì"
bankomat,取款机,qǔkuǎnjī
bar,酒吧,"jiǔ bā"
Baran,牡羊座,mǔyángzuò
baranina,羊肉,yángròu
Barbara,巴巴拉,bābālā
bardzo,很,hěn
bardzo,非常,fēicháng
bardzo,十分,shífēn
bark,肩,jiān
barok,巴洛克,bāluòkè
barokowy,巴洛克风格的,"bāluòkè fēnggé de"
Bartosz,巴尔托士,bāěrtuōshì
barwa,染色,"rǎn sè"
basen,游泳池,"yóuyǒng chí"
bat,鞭,biān
bateria,电池,diànchí
"bateria słoneczna",太阳能电池,"tài yáng néng diàn chí"
bawełna,棉花,miánhua
bawełna,棉,mián
bawół,水牛,"shuǐ niú"
bazar,市集,"shì jí"
"bać się",害怕,"hài pà"
"bać się",恐怕,"kǒng pà"
baśń,寓言,"yù yán"
bałagan,脏乱,"zāng luàn"
Bałtyk,波罗的海,"bō luō dì hǎi"
bażant,雉,zhì
Beata,贝塔,bèitǎ
benzyna,汽油,qìyóu
bestia,畜牲,"xù shēng"
bestseller,畅销,chàngxiāo
beton,混凝土,"hùn níng tǔ"
bezpieczeństwo,安全,"ān quán"
bezpiecznie,安全,ānquán
beżowy,灰棕色,huīzōngsè
białaczka,白血病,báixuèbìng
Białoruś,白俄罗斯,báiéluósí
biały,白色,báisè
Biblia,圣经,"shèng jīng"
biblioteczka,书橱,shūchú
biblioteczka,书架,shūjià
biblioteka,图书馆,"tú shū guǎn"
biec,跑,pǎo
bieda,不幸,"bù xìng"
biedny,贫穷,pínqióng
biedny,贫困,pínkùn
biedronka,瓢虫,piáochóng
biegać,跑步,pǎobù
biegunka,拉肚子,"lā dùzi"
biegłość,熟,shú
biegły,熟练,"shú liàn"
bielizna,内衣,nèiyī
bilet,票,piào
biodra,胯部,kuàbù
biologia,生物学,shēngwùxué
biologia,生态学,shēngtàixué
biurko,办公桌,bàngōngzhuō
biurko,写字台,xiězìtái
biuro,办公室,bàngōngshì
"biuro turystyczne",旅游服务处,"lǚ yóu fú wù chǔ"
biurowiec,办公楼,bàngōnglóu
biustonosz,乳罩,rǔzhào
biznes,商业,"shāng yè"
bić,打,dǎ
biżuteria,珠宝,"zhū bǎo"
blask,光辉,"guāng huī"
bliski,近,jìn
blisko,在近处,"zài jìnchù"
bliźniaki,双胞胎,"shuāng bāo tāi"
Bliźnięta,双子座,shuāngzǐzuò
blog,博客,"bó kè"
blokować,阻碍,zǔ'ài
blokować,取消,qǔxiāo
blokować,注销,zhùxiāo
blokować,作废,zuòfèi
bluza,毛衣,"máo yī"
bluzka,女短外衣,"nǚ duǎn wàiyī"
bocian,鹳,guàn
boczek,五花熏肉,"wǔ huā xūn ròu"
bóg,上帝,shàngdì
bogactwo,财富,"cái fù"
bogaty,富裕,fùyù
bohater,英雄,"yīng xióng"
boks,拳击,"quán jī"
bokser,拳击手,"quán jī shǒu"
ból,痛苦,tòngkǔ
boleć,疼,téng
boleć,痛,tòng
bomba,炸弹,zhàdàn
borsuk,獾,huān
"Boże Narodzenie",圣诞节,shèngdànjié
brak,缺乏,"quē fá"
brama,大门,"dà mén"
bramkarz,守门员,shǒuményuán
bransoletka,手镯,shŏuzhuō
brat,兄弟,"xiōng dì"
brat,哥哥,"gē ge"
brat,弟弟,"dì di"
braterstwo,兄第关系,"xiōng dì guān xì"
braterstwo,兄弟情谊,"xiōng dì qíng yì"
Brazylia,巴西,bāxī
brać,拿,ná
brać,取,qǔ
broda,胡须,húxū
broda,下巴,xiàbā
brokuł,西兰花,xīlánhuā
broń,武器,wǔqì
"broń biologiczna",生物武器,shēngwùwǔqì
bronić,防卫,"fáng wèi"
"bronić się",防卫,"fáng wèi"
broszka,胸针,xiōngzhēn
"Bruce Lee",李小龙,"lǐ xiǎo lóng"
brudny,脏,zāng
brydż,桥牌,qiáopái
brzeg,岸,àn
brzmieć,听起来,"tīng qǐlái"
brzmieć,用声音发出,"yòng shēngyīn fā chū"
brzoskwinia,桃子,táozi
brzoza,白桦,báihuá
brzuch,肚子,dùzi
brzydki,丑,chǒu
brzydki,难看,nánkàn
brąz,青铜,"qīng tóng"
brązowy,褐色,hèsè
brązowy,棕色,zōngsè
brązowy,咖啡色,"kā fēi sè"
bubel,废品,fèipĭn
Budda,佛,fó
buddyzm,佛教,fójiào
